2025-09-06 21:02:09 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:02:19 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:02:30 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:02:40 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:02:50 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:03:01 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:03:11 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:03:22 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:03:32 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:03:42 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:03:53 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:04:03 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:04:14 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:04:24 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:04:34 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:04:45 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:04:55 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
2025-09-06 21:05:05 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
